** CONVERTED FROM /home/methlab/Desktop/LEAMA-main/data/99/99_1.edf using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Wed May 10 15:50:48 2023
** DATE: Mon Jun  1 03:50:10 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.09 Nov 17 2015
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDB07
** CAMERA_CONFIG: BDB07200.SCD
**

MSG	5232127 RECCFG CR 500 2 1 L
MSG	5232127 ELCLCFG RTABLER
MSG	5232127 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	5232127 THRESHOLDS L 46 203
MSG	5232127 ELCL_WINDOW_SIZES 176 176 224 224
MSG	5232127 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	5232127 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	5232127 ELCL_PROC ELLIPSE  (5)
MSG	5232127 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	5232128 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	5232128	127
MSG	5232128 !MODE RECORD CR 500 2 1 L
5232128	   .	   .	    0.0	...
SSACC L  5232130
SBLINK L 5232130
5232130	   .	   .	    0.0	...
5232132	   .	   .	    0.0	...
5232134	   .	   .	    0.0	...
5232136	   .	   .	    0.0	...
5232138	   .	   .	    0.0	...
5232140	   .	   .	    0.0	...
5232142	   .	   .	    0.0	...
5232144	   .	   .	    0.0	...
5232146	   .	   .	    0.0	...
5232148	   .	   .	    0.0	...
5232150	   .	   .	    0.0	...
5232152	   .	   .	    0.0	...
5232154	   .	   .	    0.0	...
5232156	   .	   .	    0.0	...
5232158	   .	   .	    0.0	...
5232160	   .	   .	    0.0	...
5232162	   .	   .	    0.0	...
5232164	   .	   .	    0.0	...
5232166	   .	   .	    0.0	...
5232168	   .	   .	    0.0	...
5232170	   .	   .	    0.0	...
5232172	   .	   .	    0.0	...
5232174	   .	   .	    0.0	...
5232176	   .	   .	    0.0	...
5232178	   .	   .	    0.0	...
5232180	   .	   .	    0.0	...
5232182	   .	   .	    0.0	...
5232184	   .	   .	    0.0	...
5232186	   .	   .	    0.0	...
5232188	   .	   .	    0.0	...
5232190	   .	   .	    0.0	...
5232192	   .	   .	    0.0	...
5232194	   .	   .	    0.0	...
5232196	   .	   .	    0.0	...
5232198	   .	   .	    0.0	...
5232200	   .	   .	    0.0	...
5232202	   .	   .	    0.0	...
5232204	   .	   .	    0.0	...
5232206	   .	   .	    0.0	...
5232208	   .	   .	    0.0	...
5232210	   .	   .	    0.0	...
5232212	   .	   .	    0.0	...
5232214	   .	   .	    0.0	...
5232216	   .	   .	    0.0	...
5232218	   .	   .	    0.0	...
